Concurso;Data;Coluna 1;Coluna 2;Coluna 3;Coluna 4;Coluna 5;Ganhadores;Prêmio
1;13/03/1994;25;45;60;76;79;3;75731225,00
2;17/03/1994;13;30;58;63;64;1;118499397,00
3;20/03/1994;5;15;32;33;48;1;154244270,00
4;24/03/1994;27;57;60;61;77;1;124185246,00
5;27/03/1994;19;44;53;54;71;1;147595715,00
6;03/04/1994;4;45;54;65;67;1;165397879,00
7;07/04/1994;9;21;37;42;68;2;77956048,00
8;10/04/1994;5;16;26;28;62;0;
9;14/04/1994;4;15;44;64;73;0;
10;17/04/1994;20;32;49;54;62;0;
11;24/04/1994;17;33;52;60;76;3;417312858,00
12;28/04/1994;1;28;56;65;79;1;184669459,00
13;01/05/1994;13;33;38;39;72;0;
14;05/05/1994;44;52;60;64;68;1;525124015,00
15;08/05/1994;2;25;54;63;66;1;277319457,00
16;12/05/1994;11;24;63;64;69;2;110528738,00
17;15/05/1994;1;14;26;34;72;2;133857239,00
18;19/05/1994;6;29;40;63;72;1;212643153,00
19;22/05/1994;12;21;42;60;66;1;251357051,00
20;26/05/1994;13;16;31;39;70;1;213833570,00
21;29/05/1994;5;15;38;48;77;0;
22;05/06/1994;7;9;11;25;75;4;174093581,00
23;09/06/1994;1;15;63;72;77;0;
24;12/06/1994;9;44;57;67;68;0;
25;16/06/1994;2;29;46;69;76;2;579215957,00
26;19/06/1994;10;15;22;55;79;1;367630872,00
27;23/06/1994;5;36;39;70;78;0;
28;26/06/1994;8;26;28;29;30;2;317283646,00
29;03/07/1994;20;23;31;35;76;0;
30;07/07/1994;12;13;14;56;60;1;271366,73
31;10/07/1994;43;51;54;69;73;1;140707,31
32;14/07/1994;9;23;31;60;80;0;
33;18/07/1994;21;31;44;65;74;0;
34;21/07/1994;17;45;64;67;69;0;
35;24/07/1994;44;52;54;56;60;2;322767,41
36;28/07/1994;42;56;62;65;79;0;
37;31/07/1994;9;26;31;36;65;0;
38;04/08/1994;11;12;57;59;69;1;572577,33
39;07/08/1994;5;7;21;28;70;3;66720,22
40;11/08/1994;2;18;31;38;49;2;88095,96
41;14/08/1994;5;14;31;41;49;5;40008,93
42;18/08/1994;15;33;39;76;78;1;176147,02
43;21/08/1994;5;18;21;41;71;1;216656,42
44;25/08/1994;2;7;57;59;76;2;96260,30
45;28/08/1994;2;3;27;64;65;2;109599,02
46;01/09/1994;30;49;72;78;80;1;191015,19
47;04/09/1994;10;18;22;31;73;1;224601,33
48;11/09/1994;20;39;72;73;76;0;
49;15/09/1994;10;19;39;52;66;1;585910,74
50;18/09/1994;4;10;15;42;45;6;40699,71
51;22/09/1994;2;20;26;42;79;2;106595,79
