Conc.;Data;1a;2a;3a;4a;5a;Gan.;Prêmio
5587;11/06/2021;3;50;52;53;74;0;
5586;10/06/2021;25;26;30;70;75;0;
5585;09/06/2021;14;23;44;58;63;0;
5584;08/06/2021;7;10;35;67;78;0;
5583;07/06/2021;17;37;38;51;56;0;
5582;05/06/2021;4;22;32;64;74;0;
5581;04/06/2021;10;27;40;46;74;0;
5580;02/06/2021;1;20;51;67;78;0;
5579;01/06/2021;8;9;57;75;78;0;
5578;31/05/2021;2;17;34;37;68;1;7.729.032,84
5577;29/05/2021;25;40;45;59;76;0;
5576;28/05/2021;9;16;37;45;77;0;
5575;27/05/2021;17;35;41;71;76;0;
5574;26/05/2021;3;15;21;36;68;0;
5573;25/05/2021;14;34;38;46;59;0;
5572;24/05/2021;12;14;35;39;56;0;
5571;22/05/2021;29;63;69;75;78;0;
5570;21/05/2021;5;11;17;27;53;1;8.117.285,62
5569;20/05/2021;11;38;54;63;67;0;
5568;19/05/2021;10;52;54;57;63;0;
5567;18/05/2021;10;14;27;58;60;0;
5566;17/05/2021;37;45;58;59;72;0;
5565;15/05/2021;5;23;38;56;75;0;
5564;14/05/2021;37;52;59;72;79;0;
5563;13/05/2021;21;27;42;57;71;0;
5562;12/05/2021;11;13;31;51;69;1;743.725,46
5561;11/05/2021;25;40;61;69;78;1;733.289,93
5560;10/05/2021;32;55;56;62;63;1;735.139,85
5559;08/05/2021;2;21;34;52;72;1;786.141,33
5558;07/05/2021;11;20;22;34;44;1;2.697.455,32
5557;06/05/2021;10;28;39;44;62;0;
5556;05/05/2021;25;31;34;39;65;0;
5555;04/05/2021;12;18;67;68;71;2;5.728.157,58
5554;03/05/2021;9;13;66;72;74;0;
5553;30/04/2021;5;31;63;64;78;0;
5552;29/04/2021;1;15;33;53;70;0;
5551;28/04/2021;7;12;21;58;74;0;
5550;27/04/2021;23;24;26;31;44;0;
5549;26/04/2021;6;24;53;73;76;0;
5548;24/04/2021;35;50;66;67;77;0;
5547;23/04/2021;4;16;20;32;61;0;
5546;22/04/2021;42;55;56;62;80;0;
5545;20/04/2021;28;30;37;64;76;3;1.491.241,88
5544;19/04/2021;39;43;44;56;70;0;
5543;17/04/2021;12;32;68;73;75;0;
5542;16/04/2021;9;10;15;63;69;0;
5541;15/04/2021;15;20;28;38;54;0;
5540;14/04/2021;13;24;30;33;43;1;10.003.089,21
5539;13/04/2021;7;9;34;66;78;0;
5538;12/04/2021;33;36;37;47;69;0;
5537;10/04/2021;9;26;28;32;41;0;
5536;09/04/2021;1;4;7;13;78;0;
5535;08/04/2021;4;9;63;71;78;0;
5534;07/04/2021;17;32;41;58;69;0;
5533;06/04/2021;45;46;51;53;73;0;
5532;05/04/2021;12;16;19;20;68;0;
5531;03/04/2021;4;7;13;30;41;2;7.454.072,68
5530;01/04/2021;4;19;20;53;69;0;
5529;31/03/2021;19;28;41;69;78;0;
5528;30/03/2021;2;4;22;50;61;0;
5527;29/03/2021;11;14;22;33;80;0;
5526;27/03/2021;12;37;50;67;75;0;
5525;26/03/2021;29;42;53;58;80;0;
5524;25/03/2021;9;34;42;54;64;0;
5523;24/03/2021;12;20;52;71;72;0;
5522;23/03/2021;26;29;61;69;74;0;
5521;22/03/2021;13;21;31;48;77;0;
5520;20/03/2021;21;37;42;53;61;0;
5519;19/03/2021;7;8;12;19;59;0;
5518;18/03/2021;9;17;26;49;50;1;18.069.418,17
5517;17/03/2021;17;20;21;65;77;0;
5516;16/03/2021;2;29;63;72;77;0;
5515;15/03/2021;28;40;45;46;54;0;
5514;13/03/2021;9;16;46;49;70;0;
5513;12/03/2021;2;6;9;45;64;0;
5512;11/03/2021;11;20;22;24;34;0;
5511;10/03/2021;12;23;24;37;63;0;
5510;09/03/2021;8;18;32;62;80;0;
5509;08/03/2021;11;47;58;67;73;0;
5508;06/03/2021;20;29;42;58;71;0;
5507;05/03/2021;11;13;24;54;71;0;
5506;04/03/2021;23;27;54;59;60;0;
5505;03/03/2021;2;18;39;44;55;0;
5504;02/03/2021;45;48;71;73;75;1;16.909.339,15
5503;01/03/2021;19;23;60;70;80;0;
5502;27/02/2021;29;45;50;68;72;0;
5501;26/02/2021;16;20;25;26;58;0;
5500;25/02/2021;3;19;34;45;79;0;
5499;24/02/2021;6;22;33;53;67;0;
5498;23/02/2021;25;46;47;49;66;0;
5497;22/02/2021;46;58;69;79;80;0;
5496;20/02/2021;4;17;54;66;80;0;
5495;19/02/2021;7;11;23;65;70;0;
5494;18/02/2021;3;12;29;38;52;0;
5493;17/02/2021;48;53;60;66;77;0;
5492;13/02/2021;14;27;36;39;47;0;
5491;12/02/2021;4;7;19;55;69;1;4.930.749,44
5490;11/02/2021;3;18;27;31;43;0;
5489;10/02/2021;5;40;59;63;79;0;
5488;09/02/2021;23;30;57;65;66;0;
5487;08/02/2021;25;31;51;60;71;0;
5486;06/02/2021;4;26;29;53;57;1;6.354.204,60
5485;05/02/2021;12;38;49;53;77;0;
5484;04/02/2021;13;32;39;52;59;0;
5483;03/02/2021;1;2;54;57;79;0;
5482;02/02/2021;25;27;40;63;70;0;
5481;01/02/2021;42;52;62;73;74;0;
5480;30/01/2021;13;34;55;57;59;1;743.674,68
5479;29/01/2021;28;33;41;69;74;1;13.736.823,64
5478;28/01/2021;28;33;35;74;79;0;
5477;27/01/2021;6;12;13;14;76;0;
5476;26/01/2021;10;16;45;63;75;0;
5475;25/01/2021;23;37;42;46;79;0;
5474;23/01/2021;20;33;41;46;67;0;
5473;22/01/2021;13;41;44;70;71;0;
5472;21/01/2021;4;29;35;46;47;0;
5471;20/01/2021;7;27;35;39;49;0;
5470;19/01/2021;5;62;66;68;75;0;
5469;18/01/2021;10;14;29;63;72;0;
5468;16/01/2021;15;21;38;43;59;1;4.675.303,64
5467;15/01/2021;22;23;25;34;56;0;
5466;14/01/2021;1;13;15;56;61;0;
5465;13/01/2021;26;29;47;68;80;0;
5464;12/01/2021;8;14;49;70;72;0;
5463;11/01/2021;10;24;28;52;79;1;16.363.924,55
5462;09/01/2021;36;53;54;55;68;0;
5461;08/01/2021;26;31;53;65;72;0;
5460;07/01/2021;21;27;37;48;61;0;
5459;06/01/2021;22;31;37;53;71;0;
5458;05/01/2021;5;11;44;60;80;0;
5457;04/01/2021;1;16;24;48;64;0;
5456;02/01/2021;5;57;58;65;80;0;
5455;31/12/2020;7;26;59;60;66;0;
5454;30/12/2020;12;47;64;70;71;0;
5453;29/12/2020;2;14;20;57;79;0;
5452;28/12/2020;12;29;34;52;76;0;
5451;26/12/2020;18;33;36;68;71;0;
5450;24/12/2020;3;7;30;46;76;1;549.422,23
5449;23/12/2020;18;20;43;70;76;1;3.483.100,44
5448;22/12/2020;2;31;55;59;76;0;
5447;21/12/2020;33;61;70;77;79;0;
5446;19/12/2020;9;24;63;64;72;0;
5445;18/12/2020;48;54;67;68;73;1;7.994.132,07
5444;17/12/2020;12;39;57;64;80;0;
5443;16/12/2020;5;8;10;22;54;0;
5442;15/12/2020;18;37;41;57;76;0;
5441;14/12/2020;6;10;55;68;71;0;
5440;12/12/2020;27;33;45;70;76;0;
5439;11/12/2020;8;13;18;26;29;0;
5438;10/12/2020;15;21;61;62;65;0;
5437;09/12/2020;9;26;55;67;74;1;4.601.102,60
5436;08/12/2020;35;41;60;75;77;0;
5435;07/12/2020;27;35;56;59;73;0;
5434;05/12/2020;8;37;39;41;66;0;
5433;04/12/2020;19;34;56;74;76;0;
5432;03/12/2020;40;45;53;72;75;2;6.579.217,60
5431;02/12/2020;14;17;50;64;72;0;
5430;01/12/2020;3;37;64;71;75;0;
5429;30/11/2020;1;9;54;59;76;0;
5428;28/11/2020;2;44;45;60;67;0;
5427;27/11/2020;10;18;23;36;78;0;
5426;26/11/2020;6;33;36;37;78;0;
5425;25/11/2020;15;36;44;54;65;0;
5424;24/11/2020;11;12;35;63;80;0;
5423;23/11/2020;2;23;28;63;64;0;
5422;21/11/2020;9;17;63;75;77;0;
5421;20/11/2020;3;14;38;64;65;1;7.347.472,84
5420;19/11/2020;7;22;51;66;78;0;
5419;18/11/2020;8;13;62;66;67;0;
5418;17/11/2020;22;35;44;53;66;0;
5417;16/11/2020;1;34;47;61;80;0;
5416;14/11/2020;6;9;10;29;38;0;
5415;13/11/2020;4;18;24;65;73;0;
5414;12/11/2020;11;21;37;61;70;0;
5413;11/11/2020;1;4;6;8;56;1;727.693,01
5412;10/11/2020;6;37;38;70;71;1;695.735,81
5411;09/11/2020;18;30;31;36;60;1;715.367,63
5410;07/11/2020;1;4;21;26;46;1;7.964.528,87
5409;06/11/2020;16;22;27;41;75;0;
5408;05/11/2020;39;54;64;67;71;0;
5407;04/11/2020;4;11;16;28;45;0;
5406;03/11/2020;41;46;54;57;65;0;
5405;31/10/2020;18;43;46;47;79;0;
5404;30/10/2020;20;34;66;70;75;0;
5403;29/10/2020;5;7;33;42;64;0;
5402;28/10/2020;9;61;63;66;67;1;4.275.296,44
5401;27/10/2020;7;18;32;52;71;0;
5400;26/10/2020;32;56;65;74;80;0;
5399;24/10/2020;27;32;44;46;49;0;
5398;23/10/2020;9;14;37;54;80;0;
5397;22/10/2020;5;32;41;51;76;1;16.689.394,24
5396;21/10/2020;3;11;30;54;57;0;
5395;20/10/2020;16;28;42;66;75;0;
5394;19/10/2020;15;22;30;48;73;0;
5393;17/10/2020;3;12;27;61;67;0;
5392;16/10/2020;13;14;35;55;76;0;
5391;15/10/2020;4;20;38;64;65;0;
5390;14/10/2020;4;25;46;53;71;0;
5389;13/10/2020;4;6;16;22;75;0;
5388;10/10/2020;4;13;39;48;77;0;
5387;09/10/2020;33;35;52;65;74;0;
5386;08/10/2020;2;5;11;16;51;0;
5385;07/10/2020;10;45;53;59;65;0;
5384;06/10/2020;17;19;21;61;63;1;7.740.157,23
5383;05/10/2020;22;35;39;53;62;0;
5382;03/10/2020;16;30;40;44;73;0;
5381;02/10/2020;10;20;21;33;42;0;
5380;01/10/2020;14;31;32;35;62;0;
5379;30/09/2020;13;43;52;64;72;0;
5378;29/09/2020;12;19;52;64;72;0;
5377;28/09/2020;10;41;46;54;69;0;
5376;26/09/2020;15;17;18;74;77;1;9.243.817,10
5375;25/09/2020;5;14;39;47;79;0;
5374;24/09/2020;8;12;28;31;34;0;
5373;23/09/2020;11;45;46;54;67;0;
5372;22/09/2020;6;33;35;40;51;0;
5371;21/09/2020;2;22;37;59;77;0;
5370;19/09/2020;7;10;29;41;68;0;
5369;18/09/2020;8;41;70;72;80;0;
5368;17/09/2020;21;45;50;56;69;0;
5367;16/09/2020;3;4;31;34;41;1;17.199.887,16
5366;15/09/2020;15;17;41;58;76;0;
5365;14/09/2020;5;14;33;52;59;0;
5364;12/09/2020;3;38;50;69;78;0;
5363;11/09/2020;2;3;31;50;73;0;
5362;10/09/2020;35;41;64;69;70;0;
5361;09/09/2020;16;31;35;72;73;0;
5360;08/09/2020;19;37;46;61;65;0;
5359;05/09/2020;1;28;29;59;65;0;
5358;04/09/2020;6;11;38;49;58;0;
5357;03/09/2020;20;37;41;51;58;0;
5356;02/09/2020;4;13;39;54;80;0;
5355;01/09/2020;7;43;59;61;62;0;
5354;31/08/2020;13;19;41;43;58;0;
5353;29/08/2020;25;27;67;73;77;1;1.468.587,17
5352;28/08/2020;21;39;56;65;74;0;
5351;27/08/2020;5;10;51;70;75;1;625.016,48
5350;26/08/2020;3;6;24;39;63;1;2.309.126,29
5349;25/08/2020;22;29;51;58;63;0;
5348;24/08/2020;39;53;55;58;78;0;
5347;22/08/2020;5;28;31;58;76;1;6.604.816,89
5346;21/08/2020;10;23;49;63;69;0;
5345;20/08/2020;13;16;46;54;62;0;
5344;19/08/2020;13;39;50;64;77;0;
5343;18/08/2020;13;33;44;54;59;0;
5342;17/08/2020;9;17;39;55;69;0;
5341;15/08/2020;8;21;25;34;71;0;
5340;14/08/2020;16;43;65;66;71;2;2.911.936,47
5339;13/08/2020;15;26;34;41;64;0;
5338;12/08/2020;5;29;52;67;73;0;
5337;11/08/2020;11;23;38;51;68;0;
5336;10/08/2020;18;35;72;77;80;0;
5335;08/08/2020;13;15;45;54;58;0;
5334;07/08/2020;8;13;20;31;37;1;7.446.322,50
5333;06/08/2020;16;40;43;63;77;0;
5332;05/08/2020;6;24;33;64;74;0;
5331;04/08/2020;34;49;59;70;74;0;
5330;03/08/2020;1;4;20;25;76;0;
5329;01/08/2020;12;31;36;52;74;0;
5328;31/07/2020;14;42;44;51;65;0;
5327;30/07/2020;3;10;25;43;49;2;1.178.856,94
5326;29/07/2020;26;35;37;50;52;0;
5325;28/07/2020;3;41;52;59;68;0;
5324;27/07/2020;10;13;23;25;40;1;2.504.900,27
5323;25/07/2020;35;50;61;62;66;0;
5322;24/07/2020;9;42;46;47;49;0;
5321;23/07/2020;3;6;7;28;29;3;11.540.856,13
5320;22/07/2020;25;29;50;71;75;0;
5319;21/07/2020;13;23;42;65;73;0;
5318;20/07/2020;20;25;37;46;79;0;
5317;18/07/2020;6;21;30;66;79;0;
5316;17/07/2020;24;30;33;72;74;0;
5315;16/07/2020;18;19;20;26;74;0;
5314;15/07/2020;4;7;34;45;74;0;
5313;14/07/2020;4;37;56;66;73;0;
5312;13/07/2020;5;10;30;35;79;0;
5311;11/07/2020;15;23;29;31;55;0;
5310;10/07/2020;8;43;58;64;79;0;
5309;09/07/2020;6;12;22;54;77;0;
5308;08/07/2020;14;16;40;60;68;0;
5307;07/07/2020;4;5;30;43;61;0;
5306;06/07/2020;11;14;49;68;69;0;
5305;04/07/2020;23;30;53;58;80;0;
5304;03/07/2020;7;8;42;46;56;0;
5303;02/07/2020;23;31;34;72;79;0;
5302;01/07/2020;21;24;30;52;53;0;
5301;30/06/2020;29;68;69;75;80;0;
5300;29/06/2020;30;40;45;75;78;0;
5299;27/06/2020;7;17;29;55;78;5;30.517.183,25
5298;18/06/2020;46;47;51;60;76;0;
5297;17/06/2020;4;43;65;75;78;1;681.825,39
5296;16/06/2020;7;39;43;52;59;1;2.352.830,67
5295;15/06/2020;8;44;64;66;78;0;
5294;13/06/2020;6;25;27;49;73;0;
5293;12/06/2020;2;18;20;23;38;1;2.566.267,81
5292;10/06/2020;12;28;37;39;67;0;
5291;09/06/2020;46;47;65;67;71;0;
5290;08/06/2020;10;56;62;70;78;1;19.039.880,06
5289;06/06/2020;1;9;30;38;71;0;
5288;05/06/2020;6;24;26;29;32;0;
5287;04/06/2020;10;14;30;44;67;0;
5286;03/06/2020;33;36;44;71;75;0;
5285;02/06/2020;12;25;51;60;74;0;
5284;01/06/2020;10;12;29;65;79;0;
5283;30/05/2020;12;38;40;53;68;0;
5282;29/05/2020;20;35;36;71;77;0;
5281;28/05/2020;14;24;54;68;71;0;
5280;27/05/2020;1;48;49;52;63;0;
5279;26/05/2020;4;9;47;53;62;0;
5278;25/05/2020;6;24;35;48;63;0;
5277;23/05/2020;3;21;33;48;77;0;
5276;22/05/2020;14;29;39;54;76;0;
5275;21/05/2020;15;16;26;38;62;0;
5274;20/05/2020;20;22;25;43;78;1;5.463.706,11
5273;19/05/2020;13;16;17;26;60;0;
5272;18/05/2020;14;65;66;68;73;0;
5271;16/05/2020;21;22;27;34;52;0;
5270;15/05/2020;19;31;61;62;71;0;
5269;14/05/2020;8;27;34;46;54;0;
5268;13/05/2020;11;15;21;33;57;0;
5267;12/05/2020;16;39;40;59;60;1;2.724.988,96
5266;11/05/2020;4;10;18;58;72;0;
